    PID TTY          TIME CMD
      1 ?        00:00:01 systemd
      2 ?        00:00:00 init-systemd(Ub
      5 ?        00:00:00 init
     40 ?        00:00:00 systemd-journal
     68 ?        00:00:00 systemd-udevd
     78 ?        00:00:00 snapfuse
     80 ?        00:00:00 snapfuse
     82 ?        00:00:00 snapfuse
     87 ?        00:00:00 snapfuse
     92 ?        00:00:00 snapfuse
     95 ?        00:00:05 snapfuse
     98 ?        00:00:00 snapfuse
    100 ?        00:00:00 snapfuse
    147 ?        00:00:00 systemd-resolve
    176 ?        00:00:00 cron
    178 ?        00:00:00 dbus-daemon
    182 ?        00:00:00 networkd-dispat
    183 ?        00:00:00 rsyslogd
    184 ?        00:00:00 snapd
    185 ?        00:00:00 systemd-logind
    210 ?        00:00:00 subiquity-serve
    212 ?        00:00:00 unattended-upgr
    216 hvc0     00:00:00 agetty
    218 tty1     00:00:00 agetty
    341 ?        00:00:00 systemd-udevd
    369 ?        00:00:00 systemd-timedat
    388 ?        00:00:00 python3.10
    395 ?        00:00:00 SessionLeader
    396 ?        00:00:00 Relay(399)
    397 ?        00:00:00 systemd-udevd
    398 ?        00:00:00 systemd-udevd
    399 pts/0    00:00:00 bash
    400 pts/1    00:00:00 login
    402 pts/1    00:00:00 sh
    403 pts/1    00:00:00 run-parts
    409 pts/0    00:00:00 ps
